paper_18,"Shao, J. et al.","The impacts of consumer-funded renewable support schemes in the UK: From the perspective of consumers or the electricity sector?",2023,"Renewable and Sustainable Energy Reviews","Energy Access / Affordability","Policy & Governance"
paper_19,"Pickering, J., Chalaye, P.","Can renewable energy zones become regional equity zones? Policy coherence and social equity in the Electricity Infrastructure Roadmap in New South Wales, Australia",2025,"Energy Research & Social Science","Energy Justice / Equity","Policy & Governance"
paper_20,"Lomax, J. et al.","Does renewable energy affect violent conflict? Exploring social opposition and injustice in the struggle over the Lake Turkana Wind Farm, Kenya",2023,"Energy Research & Social Science","Energy Justice / Equity","Indigenous / Rural Communities"
paper_21,"van de Grift, E., Cuppen, E.","Beyond the public in controversies: A systematic review on social opposition and renewable energy actors",2022,"Energy Research & Social Science","Social Perception / Narratives",
paper_22,"Park, S., Summerfield-Ryan, O.","The embodied political ecology of solar energy: Tracing socio-ecological impacts through solar photovoltaic global supply chains",2025,"Energy Research & Social Science","Energy Justice / Equity",
paper_23,"Granit, I.","What makes Colombia's indigenous peoples adopt microgrids? Social Perception / Narratives and financial constraints in renewable energy diffusion",2023,"Energy Research & Social Science","Social Perception / Narratives","Indigenous / Rural Communities"
paper_24,"Dwarkasing, C.","Inequality determined social outcomes of low-carbon transition policies: A conceptual meta-review of justice impacts",2023,"Energy Research & Social Science","Energy Justice / Equity","Policy & Governance"
paper_25,"Fuchs, J.L. et al.","Energy, equity and inclusion: Exploring gender equality and social inclusion in energy planning in Kenya",2025,"Energy Research & Social Science","Policy & Governance","Gender & Social Inclusion"
paper_26,"Greiner, C., Klagge, B.","The temporalities and externalities of ancillary infrastructure in large-scale renewable energy projects: Insights from the rural periphery",2024,"Energy Policy","Socio-Economic Impacts","Indigenous / Rural Communities"
paper_27,"Javed, A., Usman, N.","Skill-biased labour market effects of environmental policy and green energy transition in Italy",2025,"Energy Policy","Employment & Labour Market","Policy & Governance"
paper_28,"Mayen Huerta, C. et al.","Leveraging geospatial data to evaluate women’s employment opportunities in the renewable energy sector",2025,"Energy Research & Social Science","Employment & Labour Market","Gender & Social Inclusion"
paper_29,"Sharma, V., Loginova, J.","How are Indigenous groups participating in large renewable energy project co-ownership? Mapping global progress",2026,"Energy Research & Social Science","Community Engagement","Indigenous / Rural Communities"
paper_30,"Vestrelli, R. et al.","Energy narratives in Europe: Exploring the link between online news and renewable energy production",2025,"Energy Research & Social Science","Social Perception / Narratives",
paper_31,"Simionescu, M., Cifuentes-Faura, J.","Evaluating the relationship between income inequality, renewable energy and energy poverty in the V4 countries",2024,"Energy Research & Social Science","Energy Access / Affordability","Energy Justice / Equity"
paper_32,"Hampl, N.","Energy systems for Brazil's Amazon: Could renewable energy improve Indigenous livelihoods and save forest ecosystems?",2024,"Energy Research & Social Science","Socio-Economic Impacts","Indigenous / Rural Communities"
paper_33,"Lee, K. et al.","Proposing a value-sharing mechanism for wind power: Impacts of benefit-sharing and community engagement on acceptance and environmental awareness",2026,"Energy Research & Social Science","Community Engagement","Social Perception / Narratives"
paper_34,"Santero-Sánchez, R. et al.","Gender challenges in just energy transition: The labour market perspective",2025,"Energy Research & Social Science","Employment & Labour Market","Gender & Social Inclusion"
paper_35,"Jové-Llopis, E. et al.","Energy poverty and health: does the social energy tariff help?",2025,"Energy Policy","Health","Energy Access / Affordability"
paper_36,"Nsude, C.C. et al.","Renewables but unjust? Critical restoration geography as a framework for addressing global renewable energy injustice",2024,"Energy Research & Social Science","Energy Justice / Equity",
paper_37,"Radun, J. et al.","Health effects of wind turbine noise and road traffic noise on people living near wind turbines",2022,"Renewable and Sustainable Energy Reviews","Health",
paper_38,"Basilico, P. et at.","Renewable energy communities and energy poverty: Social and policy insights from empirical research in Italy",2026,"Energy Policy","Policy & Governance","Community Engagement"
paper_39,"Śmiech, S. et al.","Impact of energy transitions on energy poverty in the European Union",2025,"Renewable and Sustainable Energy Reviews","Energy Access / Affordability",
paper_40,"Reidl, K., Wüstenhagen, R.","Decarbonising the rental housing market: An experimental analysis of tenants’ preferences for clean energy features of residential buildings",2025,"Energy Policy","Housing","Social Perception / Narratives"
paper_41,"Ackermann, I.,Radulescu, D.","Unveiling the energy price tag - Assessing the burden of household energy expenditures among European countries",2026,"Energy Policy","Energy Justice / Equity","Energy Access / Affordability"
paper_42,"Dröes, M.I., Koster, H.R.A.","Wind turbines, solar farms, and house prices",2021,"Energy Policy","Housing",
paper_43,"Gordon, J.A. et al.","Price promises, trust deficits and energy justice: Public perceptions of hydrogen homes",2023,"Renewable and Sustainable Energy Reviews","Social Perception / Narratives",
paper_44,"Shi, S. et al.","Housing affordability in the renewable energy transition: Evidence from the domestic rooftop solar panel uptake in Sydney, Australia",2025,"Energy Research & Social Science","Housing","Energy Access / Affordability"
paper_45,"Adeiza Ahmed, I. et al.","Measuring the invisible: A framework for quantifying energy justice in urban communities in the United States",2025,"Energy Research & Social Science","Energy Justice / Equity",

paper_id,authors,title,year,journal,first_tag,second_tag
